YEAR,LOCATION,LOCATION_CODE,PRICE_CENTS_KWH,CPI,CPI_DEFLATOR,REAL_PRICE_CENTS_KWH,NOMINAL_YOY_PCT,REAL_YOY_PCT,CPI_YOY_PCT,DELTA_VS_INFLATION,ERA
2015,Mississippi,MS,11.27,237.0,1.3257383966244725,14.9411,-0.4416961130742081,-0.5676675717404045,0.12674271229404788,-0.5684,Recent (2010-2024)
2016,Mississippi,MS,10.47,240.0,1.3091666666666666,13.707,-7.098491570541254,-8.259766683845227,1.2658227848101333,-8.3643,Recent (2010-2024)
2017,Mississippi,MS,11.08,245.1,1.2819257445940433,14.2037,5.8261700095511015,3.6236959217917697,2.124999999999999,3.7012,Recent (2010-2024)
2018,Mississippi,MS,11.12,251.1,1.2512943050577459,13.9144,0.3610108303248927,-2.0367932299330427,2.447980416156681,-2.087,Recent (2010-2024)
2019,Mississippi,MS,11.27,255.7,1.2287837309346892,13.8484,1.3489208633093552,-0.4743287529465956,1.831939466348076,-0.483,Recent (2010-2024)
2020,Mississippi,MS,11.17,258.8,1.214064914992272,13.5611,-0.8873114463176512,-2.0746078969411608,1.2123582323034787,-2.0997,Recent (2010-2024)
2021,Mississippi,MS,11.56,270.9,1.1598375784422297,13.4077,3.4914950760966956,-1.131176674458556,4.675425038639869,-1.1839,Recent (2010-2024)
2022,Mississippi,MS,12.41,292.7,1.0734540485138366,13.3216,7.352941176470584,-0.6421683062717731,8.047249907715038,-0.6943,Recent (2010-2024)
2023,Mississippi,MS,13.23,304.7,1.031178208073515,13.6425,6.607574536663985,2.4088698054287816,4.0997608472839175,2.5078,Recent (2010-2024)
2024,Mississippi,MS,13.39,314.2,1.0,13.39,1.2093726379440728,-1.8508337914605044,3.1178208073515012,-1.9084,Recent (2010-2024)
2001,North Carolina,NC,8.12,177.1,1.7741389045736873,14.406,,,,,Modern Era (1990-2009)
2002,North Carolina,NC,8.19,179.9,1.7465258476931627,14.304,0.8620689655172376,-0.7080383173677651,1.5810276679842028,-0.719,Modern Era (1990-2009)
2003,North Carolina,NC,8.32,184.0,1.7076086956521739,14.2073,1.5873015873016039,-0.6760346756152114,2.2790439132851503,-0.6917,Modern Era (1990-2009)
2004,North Carolina,NC,8.45,188.9,1.6633139227104288,14.055,1.5624999999999778,-1.0719841208392866,2.6630434782608736,-1.1005,Modern Era (1990-2009)
2005,North Carolina,NC,8.65,195.3,1.6088069636456732,13.9162,2.366863905325456,-0.9875489149768768,3.388035997882488,-1.0212,Modern Era (1990-2009)
2006,North Carolina,NC,9.12,201.6,1.558531746031746,14.2138,5.433526011560685,2.1385148244492003,3.2258064516129004,2.2077,Modern Era (1990-2009)
2007,North Carolina,NC,9.4,207.3,1.5156777616980222,14.2474,3.070175438596512,0.23638998719555104,2.8273809523809534,0.2428,Modern Era (1990-2009)
2008,North Carolina,NC,9.52,215.3,1.4593590339061773,13.8931,1.2765957446808418,-2.4867695158414915,3.8591413410516084,-2.5825,Modern Era (1990-2009)
2009,North Carolina,NC,9.99,214.5,1.4648018648018648,14.6334,4.936974789915971,5.32854438534236,-0.3715745471435272,5.3085,Modern Era (1990-2009)
2010,North Carolina,NC,10.12,218.1,1.4406235671710224,14.5791,1.301301301301283,-0.37106892451514994,1.6783216783216703,-0.377,Recent (2010-2024)
2011,North Carolina,NC,10.26,224.9,1.3970653623832814,14.3339,1.3833992094861802,-1.6818596484007964,3.1178358551123386,-1.7344,Recent (2010-2024)
2012,North Carolina,NC,10.91,229.6,1.3684668989547037,14.93,6.335282651072127,4.15867279665687,2.089817696754115,4.2455,Recent (2010-2024)
2013,North Carolina,NC,10.97,233.0,1.3484978540772532,14.793,0.5499541704858002,-0.9176155391828589,1.4808362369338024,-0.9309,Recent (2010-2024)
2014,North Carolina,NC,11.1,236.7,1.327418673426278,14.7343,1.185050136736554,-0.39680930169674333,1.587982832618029,-0.4029,Recent (2010-2024)
